S_SUPPKEY,S_NAME,S_ADDRESS,S_NATIONKEY,S_PHONE,S_ACCTBAL,S_COMMENT
32,"Supplier#000000032","uwCnX8y18u,zGadpgSQKHVP1F2fxK",23,33-484-637-7873,3556.47,inments. silently final pinto beans among the 
33,"Supplier#000000033","LLMgB3vXW,0g,8nuv3qU3QZaEBZvU2qRLX9",7,17-138-897-9374,8564.12,"l packages cajole unusual, final packages. slyly express requests"
34,"Supplier#000000034",F29MXhwqYcXFfWjKungGH b6nceg9o9B03BR,10,20-519-982-2343,237.31,al packages wake blithely. quickly express accounts cajole packages. final ideas haggle 
35,"Supplier#000000035","btEEk4uH55bVcxqqo355 x0WMmrK6,bOU",21,31-720-790-5245,4381.41,lyly above the furiously ironic attainments. pending dugouts was quic
36,"Supplier#000000036",Fs8BpqhwPHOuX6g84XPfmMv9nUSnRZGqoSTS,13,23-273-493-3679,2371.51,"ithely even pinto beans. bold, express pinto beans according to the carefully r"
37,"Supplier#000000037",PAHtpWJZD5,0,10-470-144-1330,3017.47,deposits. furiously ironic dolphins after the slyly even accounts haggle against the excuses. 
38,"Supplier#000000038","vmOuWWwn,l4j7TOSEw4l3",4,14-361-296-6426,2512.41,inst the slyly final pinto beans. carefully un
39,"Supplier#000000039","2e0rD92Bmb5 ZtqmjQoR,AHlOJHHM6WMj",8,18-851-856-5633,6115.65,"ts. special, final requests along the thinly regular accounts are across the bold pac"
40,"Supplier#000000040",ttiM4tPPBG85XTwFZDE8lpu8KOYgB,22,32-231-247-6991,-290.06,ress deposits affix blithely ideas. final
41,"Supplier#000000041",lrZlgk9WXVsveglFty,18,28-739-447-2525,6942.67,ss courts: blithely ironic excuses might haggl
42,"Supplier#000000042",",2VFvnKBMXIYwP6q2HX8wfJgUZhFvmfyno",22,32-698-298-6317,6565.11,egular ideas haggle. furiously ironic acco
43,"Supplier#000000043",2VEfxrC76mNg2VwZY5DDrWnSTrCUHlZfwe2EF3SJ,12,22-421-568-4862,7773.41,y regular deposits-- requests in
44,"Supplier#000000044",Hm9uFgnDFi2hNdUVsqbjHFtf,7,17-713-930-5667,9759.38,even deposits. furiously e
45,"Supplier#000000045","gOgDzRS3kyjc,429pTJGd jr Es9KZ",9,19-189-635-8862,2944.23,"ndencies detect quickly unusual foxes. special, "
46,"Supplier#000000046","N,6964Lnc2fNgMZV1VJV9ye9PtkE7z1nYOHRB",24,34-748-308-3215,3580.35,d somas use around the furious
47,"Supplier#000000047",Y3eZu1bOuAw0jgW4dFKPE1ePfKpjfq,14,24-810-354-4471,2958.09,"nd the packages; final, pending dependencie"
48,"Supplier#000000048","IK,6rmdbeaoxtxgx7Df34QfLX5FUcyddqUEbF4h",14,24-722-551-9498,5630.62,ecial excuses detect blithely. slyly regular requests 
49,"Supplier#000000049",ewArUFQOlWlyhws,24,34-211-567-6800,9915.24,"thely bold packages. final, pending instructions nod? even requests above the regular, "
50,"Supplier#000000050",AkCPA9ee2s0n  bKok8,9,19-561-560-7437,4515.87, furiously special ideas; regular dependencies wake furiously someti
51,"Supplier#000000051","AnGp3Q,ZbcjgHcvAIHUYyeScW",9,19-475-537-1368,7241.40,ording to the ironic accounts: express deposits nag daringly. slyly ironic packages grow daringly q
52,"Supplier#000000052",5oGr3pj2sprZNwho8CFW2haaObd0,19,29-974-934-4713,287.16,arefully silent pinto beans use furiously furiously even deposits. regular packages are furious
53,"Supplier#000000053",JRwXrnz2oLggl6UciySIJJpcjqpXTtaTPXkoT9y,7,17-886-101-6083,6177.35,fully pending accounts. packages 
54,"Supplier#000000054",iZz04vPVBK,12,22-966-435-7200,2733.69,ake quickly foxes. deposits boost furiously. carefully final packag
55,"Supplier#000000055",dAN28JcaMkXMkIUYU7H,24,34-876-912-6007,7162.15,"al requests after the blithely express ideas affix carefully above the express, ironic "
56,"Supplier#000000056",M65yF75QFrlIjpcy2C6as3aRdMdfa9YkF,16,26-471-195-5486,-632.16,"fully final accounts. even accounts across the thin, final notornis are slyly"
57,"Supplier#000000057","Qm4A6699rL0FPYC,S2",17,27-681-514-6892,-831.07,entiments boost. blithely regular fo
58,"Supplier#000000058","0,Nmqoi1Co7f13K",16,26-659-969-5586,92.44,d the fluffily even ideas. slyly final requests are quickly furi
59,"Supplier#000000059",eSFgP3HeD5GmjE7c9EpKzfI3SA hu,17,27-249-395-9123,586.16,s impress furiously along the blithely ironic deposi
60,"Supplier#000000060","PP,SDzn7q9DWT4EEpO23y",8,18-550-360-2464,4515.80,y regular requests. final ideas a
61,"Supplier#000000061","ds,eZBp9Ri",8,18-396-489-9719,6096.58,the quickly bold foxes. slyly ev
62,"Supplier#000000062",Q8EFl36gpMazAhuwoRrs9UuBlOmLVHe7P,19,29-603-653-2494,9202.57,egular packages. fluffily regular dolphins along the furiously sly packages integrate aro
63,"Supplier#000000063","eF5,cbtiCbxbGvVr2x4kDE30JLAEZ",5,15-781-401-3047,5742.03,"y. regular, special deposits integrate furiously unusual deposits. unusual, ironic dolphins"
64,"Supplier#000000064","wS,hHEibrFlCfN6I9xyPxSZKkGAAB4XbapMdy826",24,34-278-790-7004,1309.70, furiously ironic accounts wake against 
65,"Supplier#000000065",qzqDj7E8lqABBg f,22,32-444-835-2434,-963.79,regular asymptotes wake furiously furiously ironic packages. ideas sleep above t
66,"Supplier#000000066",B2N xmhah23IgwDe5E2Lp5tN5qSPO41q406V8c5X,23,33-300-836-9529,2455.98,uests cajole blithely across t
67,"Supplier#000000067",U2 mgiDOjlHVnr4U1QALr35,4,14-563-538-1657,3576.55,arefully pending accounts sl
68,"Supplier#000000068",7MUdV0wjYowmWbbL7kfERy0IPl22FnDcPXubvyKP,21,31-267-327-4328,5119.38,ronic notornis: furiously silent theodolites sno
69,"Supplier#000000069",8YnFR1LRTMYXXM9yeIYss,4,14-491-707-8310,8466.50,nusual packages wake furiously. furiously ironic frays along the quickly regular deposits bo
70,"Supplier#000000070",jd4djZv0cc5KdnA0q9oOqvceaPUbNloOW,6,16-821-608-1166,9508.37,"n instructions are about the ironic, ironic excuses. instructions cajol"
71,"Supplier#000000071",3lCSQETbUvJra,1,11-743-919-7272,8179.68, the quickly even ideas. accounts alongside of the even dependencies detect ruthlessly acr
72,"Supplier#000000072",FgBqhDHyQvHYQFA6Wr1mQhXbjYvL2AurqeSAkAZ,18,28-113-898-6643,7014.50,ccounts. blithely bold deposits use carefully ironic
73,"Supplier#000000073",kp1qZejw zwaou78HKrV4 L8clKe9geoMYCxm,16,26-758-310-7496,3793.13, along the instructions. dep
74,"Supplier#000000074",yeXt5WdcOUQVvdNCulURp4rSaxnuAwhxP9hzq,20,30-166-486-1559,4170.51,ully about the even packages. blithely regular dependencies across the even platelets play daring
75,"Supplier#000000075",ULXKdX bZFJwii,18,28-716-704-8686,-224.84,platelets cajole. sentiments 
76,"Supplier#000000076",ipJ8pRXOf2xdKj63y6jEzmoon,14,24-228-763-7840,2971.10,ending foxes wake carefully blithely express accounts. final accounts u
77,"Supplier#000000077","w5yO 0yjXou 8I4ffzADq,R8tD06x1vbeMpLJF2",7,17-281-345-4863,4186.95,ainst the blithely ironic packages poach at the regul
78,"Supplier#000000078",StXc1Zo5rJl z avspT5Ys7ytLj5jFlX8nUu s,5,15-670-998-6860,1044.10,ccounts. evenly express deposits between the blithely pending instructions unwind regular ideas. bl
79,"Supplier#000000079","C,xXyty836oYhSwmLfdlegz 9awTAt7y7p7r",14,24-402-227-9600,1191.94, slyly. quietly slow instructions around the furiously ironic theodolites are am
80,"Supplier#000000080",PhYej9mhZXAifY4IXnVIVJ9CX011Id73JAD,21,31-646-289-1906,-40.45,"ring, even sentiments are. evenly even ideas wake fluffily blithely ironic packages. even platelets"
81,"Supplier#000000081","9fFQOQJKBgF5Q0KmXzQ2xZYM,",12,22-535-310-6971,166.32,ven pinto beans run furiously. deposits use carefully across the slyly blithe packages. car
82,"Supplier#000000082",5t7gqU1BlZWyZQoeF7X,18,28-177-572-9691,-724.31,e ironic accounts. furiously even accounts inside the reque
83,"Supplier#000000083","59h6GtoD,V0 M5sWTCqLAPoxv",14,24-529-559-2461,1467.77,ccounts are fluffily? blithely pending packages should haggle furiousl
84,"Supplier#000000084","oO2H4fI1kaBmgchJWvqEj5,SIHu",24,34-869-118-7803,4780.93,ironic warthogs. carefully final dependenci
85,"Supplier#000000085",pGFzRayFsg9l,7,17-167-806-8199,7174.74,"ckages. express requests haggle busy, regu"
86,"Supplier#000000086",iZLKKWaQADe,19,29-903-665-7065,1883.37, foxes boost after the carefully silent asymptotes. slyl
87,"Supplier#000000087",5ovT6anHSsD1TyApXOBEU,24,34-860-229-1674,4746.66, beans are silently idle requests. regular deposits above the requests slee
88,"Supplier#000000088",uczJ2TvvseL8,11,21-191-938-9469,3086.13,dugouts haggle slyly deposits
89,"Supplier#000000089",MJys1P8C JyNZ,9,19-259-876-1014,1638.02,gular theodolites. deposits after the regular deposits 
90,"Supplier#000000090",QbmU6KsZLYFXKv8le D9z0K0XLAXT WGuKBKAzzZ,6,16-380-123-9217,6201.77,pinto beans. blithely final re
91,"Supplier#000000091",35WVnU7GLNbQDcc2TARavGtk6RB6ZCd46UAY,3,13-604-986-9056,6255.87,pending pinto beans after the silent accounts boost fluffily quickly regular i
92,"Supplier#000000092","EWS4tXaiXFFFS7Y,T G",2,12-701-432-8346,2470.84,"sits unwind blithely. even, final gifts wake furiously of t"
93,"Supplier#000000093",wNZNHIg370XspE,16,26-528-528-1157,368.76,instructions mold slyly special dolphins. quickly regular instru
94,"Supplier#000000094","Gg0BfcHqe5lhc3dT,sb1ydaHBpJFIm",4,14-728-888-8882,2766.80,s are fluffily. bold accounts dazzle blithely regular packag
95,"Supplier#000000095",CYrYJqLjV7o,19,29-142-539-1403,2588.83,iously special packages integrate. finally pendi
96,"Supplier#000000096",gPuBX5iIBtNrCYv2EMZISIhu0v7yZeC,12,22-888-654-7193,3437.24,ously quick deposits. furiously bold requests along
97,"Supplier#000000097",f oaJRYkUDO3ZLBVoq,4,14-618-678-1789,6642.22,riously even pains. quickly special depende
98,"Supplier#000000098",DKjDSOB3pVb,21,31-914-775-1978,5873.07, to the unusual accounts. carefully ironic
99,"Supplier#000000099","X8uG7kkYSD2 y7,1eD5lSj",18,28-272-909-1617,3671.34, deposits sleep. quickly sp
100,"Supplier#000000100",AiFdrGISsw5YYFY FPOusmobWMf,21,31-351-324-5062,3191.70,"refully final, regular accounts. permanently ironic platelets wake blithely along the f"
101,"Supplier#000000101",Tg67s6vXYbwXbnTsJ02h0uzcCqysRhM1i,11,21-970-795-5691,4901.77,kly stealthy packages. carefully pending accounts wake blithely even gifts. quickly daring account
102,"Supplier#000000102",CnEz1Y5S4Te9Zv4,8,18-884-693-5785,2980.07,the regular excuses cajole carefully even instructions. unusual instruction
103,"Supplier#000000103",KpBaWl2PFsCjg7Kr7fbq9UBJX,2,12-442-523-5043,1050.66,even courts cajole silent
104,"Supplier#000000104",oOFWtl sAwYcbM9dWRPgKTS3Ebmn9Tcp3iz0F,6,16-434-972-6922,1381.97,s. blithely pending requests against the regular instructions cajole sometimes according to the qu
105,"Supplier#000000105",Ppr28uVpFQ,4,14-951-800-2742,3754.75,n requests nag carefully quickly pendin
106,"Supplier#000000106","W,m5XxtLqz5hqH7Q7WAv7",21,31-810-990-4600,8091.65,ly-- carefully regular requests cajole slyly. furiously pending r
107,"Supplier#000000107",MADIqZwoZ526Vn1lY7pIe,16,26-958-723-2164,1378.93,r sheaves sleep across the carefully special grouches! quickly regular theodolites 
108,"Supplier#000000108",NfWTFMJLebUs9v,24,34-341-415-7878,7683.71,uickly-- carefully express 
109,"Supplier#000000109",XrUXFG1pfuz49Qrr,21,31-405-311-8656,9202.82,ffily excuses. carefully even pint
110,"Supplier#000000110","NJwRcQBtd,",15,25-824-874-9077,9804.10,theodolites. carefully express requests about the carefully busy pin
111,"Supplier#000000111",ywVUjSHSOdRWADLG582Pgdd,4,14-256-573-2660,6578.65,"egular packages behind the regular, ironic r"
112,"Supplier#000000112",xN4MVGLKwI 9ouNOSVn7d1jAqtOxATMTgg7Kq,12,22-617-876-1402,4332.95,ges. blithely final packages wake among the furiou
113,"Supplier#000000113",Wr2cBBPQjzUN9rKlWmE3AiT3yrTnODaez4b7ZsYn,11,21-211-117-1937,1882.05,outs after the silent accounts cajole blithe
114,"Supplier#000000114",7wsrIuGQp2do,20,30-998-334-7841,4559.18,ajole quickly final excuses. unusual packages are carefully. final p
115,"Supplier#000000115",EhrYy0MT5M1vfZ0V4skpifdp6pgFz5,23,33-597-248-1220,9192.10,"onic instructions. ironic, regular deposits haggle f"
116,"Supplier#000000116",LqpkbMd2vpsRKZ f248qKBCrW,13,23-188-305-1829,5751.39,s integrate fluffily about the slyly even deposit
117,"Supplier#000000117","2DFfdp0S2d,,7WEIiSMAWPh",18,28-470-879-3141,4589.18,t the carefully regular accounts. carefully special theodolites sh
118,"Supplier#000000118",q2ywdzlBaqkjCpl5l,0,10-475-868-5521,7317.43,eas. fluffily bold ideas detect according to the gifts
119,"Supplier#000000119","Xoup f,CWtzUf2lv1it1TR3DLTf1dDVgO2O",18,28-558-264-1202,2060.13, slyly bold requests run blithely. express theodolites wake f
120,"Supplier#000000120","8duC7w,8IeFaskL22RL79GfYGFybvwz9Yf",7,17-645-761-5674,5575.40,"ial theodolites use ironic, express accou"
121,"Supplier#000000121",p4k I1ygirUKnOn i,6,16-275-849-2485,5733.61,"e furious packages x-ray against the regular accounts. pending, ironic deposits"
122,"Supplier#000000122",Z968jkzB8Op574oVsrwvZ359,16,26-432-258-4986,2732.95, even packages. furiously regular accounts serve carefully re
123,"Supplier#000000123","jA9DY0vzHVJPAqaIPU2dbL,uQK",19,29-602-688-1506,5726.19, silent ideas use carefully acco
124,"Supplier#000000124",xE5QNp1rujcPaaqZLfu VS7Z2KEH58y96hgp OAU,8,18-313-889-3713,-941.38,blithely regular accounts. special packages de
125,"Supplier#000000125",4krMcX3PW79lT HX9U49bZwYzN7FtKRXywl2Qo,2,12-419-430-3983,5157.25,final accounts. quickly final dependencies affix slyly 
126,"Supplier#000000126",pQcW2y1rC8HsMED,14,24-728-670-3468,6829.86,sias solve. quickly regular accoun
127,"Supplier#000000127","6mACXk1h0,LKOQuxA1D4U9ATF1ObALhK3YPj9Qwe",1,11-265-565-1616,2502.95,o the blithely regular requests wake fu
128,"Supplier#000000128","y0i,QufbiYkgf",23,33-957-200-2556,1091.04,slyly ironic requests impress. slyly even attainments sleep furiously above the
129,"Supplier#000000129","SG46GWgrT7r9W,N5VD5MLrIU,mt",15,25-314-164-7014,9001.17,"wake blithely: regular, special instructions about t"
130,"Supplier#000000130","aDyRXfqz,mCb1Hb3aiFkd4d6HH",23,33-322-101-6260,8708.17,onic packages. furiously regular pinto beans wake quickly final requests. pending 
131,"Supplier#000000131","yXE7jfKpo,uh7fxM ,Z7yjiEKMFa63x",14,24-293-181-3975,1301.20, deposits breach slyly pending packages: slyly express pa
132,"Supplier#000000132", 6RYhOXQa8Q5,5,15-776-909-1326,-812.17,bt closely furiously ironic accounts. busily unusual packages pr
133,"Supplier#000000133",b70zMF2vNu,4,14-731-952-5158,9754.60, ironic foxes nod blithely slyly
134,"Supplier#000000134",ewTNuIWlk4ANObVV9EdOJ,6,16-184-952-7778,-329.16,osits. furiously ironic in
135,"Supplier#000000135",mW6tr2ad6Un87EcYE f0Fi,7,17-290-812-8855,9767.99,"al, even foxes-- carefully bold packages cajole final packages."
136,"Supplier#000000136",9t45CFR1l 8qUper8,8,18-175-739-8397,4623.48,"cajole blithely slyly ironic requests. bold, even deposits sleep"
137,"Supplier#000000137","ISZeZ6aowgPi5DBfDi6Dqd56cF,32hyh2",18,28-108-440-4890,837.27,"ithely silent deposits. express, pending theodolites sl"
138,"Supplier#000000138","yyPBFrErKTaEu5L3CdNJP ak4ys9AbN,Aj8wPgv",19,29-533-434-6776,906.07,"deas haggle. final, regular packages wake. quiet packages cajole pinto beans"
139,"Supplier#000000139","sYEafbz5hS5fp8DG,9rP4 Ot7LA3g CFKuP",22,32-788-265-2743,2217.93,iously regular pinto beans. furiously pending platelets use blithely across the s
140,"Supplier#000000140",FNL22NS6rz9P,16,26-379-377-5829,6727.48,sts. blithely express deposits nag slyly blithely unusual theodolites. carefully regular sentiment
141,"Supplier#000000141",WidZNxHAlJuLguC FG2X7fTo e5bo1FA,10,20-557-547-7976,8842.14,ain slyly. carefully regular pinto beans are blithely packages. blithe theodolites haggle 
142,"Supplier#000000142",kwLjDcVTBs0wUF,16,26-302-532-7958,8991.41,"azzle fluffily. sly, regular du"
143,"Supplier#000000143",RXw0Ua1edRCrls98N50LFTMJC6KmJIMMHkDAd2Wj,12,22-916-300-5765,9658.99,"s. slyly final packages solve furiously after the slow deposits. regular, final idea"
144,"Supplier#000000144","MSyNNngBzS,UjjAevzgNEX",20,30-726-423-7363,9806.29, final instructions detect al
145,"Supplier#000000145","C8z59qcFdg6xw3OIqmguvt,JnTGqrQ2L",6,16-136-582-9756,-685.94,lar ideas haggle ironically among the blithely bold packages. ironic deposits wake n
146,"Supplier#000000146","ApndKp ,Wu0 LNsoV0KldxyoIlY",22,32-792-619-3155,8271.39,slyly regular foxes. unusual accounts about the regular packages 
147,"Supplier#000000147",DfNFr9aBL023MPpwVlXKS,23,33-828-583-6731,8387.76,ites haggle carefully requests. carefully daring deposits about the bold theodolites impress furious
148,"Supplier#000000148",QGop1tMvxMAvSujx,7,17-648-666-9156,6089.75,fluffily ironic dugouts. express deposits cajole. bravely p
149,"Supplier#000000149",C5t4zIcINBkgBWdMg6WtgMtE,6,16-660-553-2456,4518.31,silent platelets. ideas hinder carefully among the slyly regular deposits. slyly pending inst
150,"Supplier#000000150",H1QHEFyhpWL0DdFRju6w4fL140K5yDaXVfgr,5,15-169-420-7828,4161.22,luffily pending requests wake carefully blithely even packages. carefully bold pinto beans h
151,"Supplier#000000151",ZJN0XdqgbPYRi2Ts3xBy3,22,32-960-568-5148,8561.72,carefully special accounts. furiously bold foxes 
152,"Supplier#000000152",I71tScHfhAMfuKjFT0LnDhxT1fzrFxdY2EdVX,24,34-659-493-1274,3846.60,ld requests. carefully daring warth
153,"Supplier#000000153",BGojq7ZwRozmpck4JNl3izuVfWK5I5FVG0,9,19-346-843-5260,850.55,e slyly after the carefully regular deposits. carefully silent theodolites nag furio
154,"Supplier#000000154","LpVZccF2rtGMlnD1BDn9QznAt,K2e09d9PC",13,23-471-808-2661,4155.67,al deposits. regular deposits according to 
155,"Supplier#000000155","elC1FLAR,dYXOoWkPfOLjkPZxBi1tSWFWYARU",22,32-417-987-3690,3401.43,"nusual packages grow pending, ironic accounts. quickly ev"
156,"Supplier#000000156",1g3PoPHA1dIEtjsNAQfW,5,15-106-692-4998,9780.74,ckages boost furiously furiously special requests. blithely final deposits cajole regular 
157,"Supplier#000000157",1EmkCApL5iF,3,13-776-259-5994,-963.19,es. furiously ironic courts use regularly silent requests. furiously express fox
158,"Supplier#000000158",sLGHPvT0n2J,7,17-873-902-6175,1596.44,ing theodolites. carefully regular pa
159,"Supplier#000000159",vLyaxWwGInVpl,4,14-606-224-3002,326.36,y even courts. blithely special
160,"Supplier#000000160","gkU5eYlSeJlDEC17BtAjLz5,icUKcQLJ",4,14-471-505-8811,5067.64,gular ideas nag along the packages.
161,"Supplier#000000161",MzyMnXcxFiR6dQrjb35M if5,0,10-604-123-7428,7810.78,arefully pending deposits. quickly final excuses wake slyly along the final depos
162,"Supplier#000000162",KLYLDAtcGiS5HldT9SIVA94Kx4sNFeyXC,9,19-905-888-6020,-170.22,to beans. furiously express instructions solve alongside of t
163,"Supplier#000000163",",eJtNeI or1Oxfi2MsPG7uhJqpVXII1p",12,22-980-516-1217,7999.27,the express packages. quickly special requests are carefully. furiously final foxes are s
164,"Supplier#000000164","Uj0,Jr1GFzWA58rVzHPD6DayBIeDkmxXKg368",2,12-414-446-6598,-264.20,ests sleep blithely. ironic dependencies about the slyly bold requests w
165,"Supplier#000000165","JbzCVBou8DvQdz9NRq6,W5FRJ5EVCjj8",14,24-906-333-8640,1550.62,es. deposits use bold excuses. pinto beans affix evenly above the slyly fluffy a
166,"Supplier#000000166",to Y10KjtfI8s,13,23-117-751-3240,258.33, final packages eat; regular ideas serve carefully even pinto bea
167,"Supplier#000000167",mmnFNEmLpj6kcEgOlMwMFEkY,20,30-725-194-1727,5731.87,furiously. requests against the ruthlessly even requests wake quickly regular accounts. blithel
168,"Supplier#000000168","edwdJEUN4sAS,iKA",9,19-985-776-2090,6559.35,eodolites doubt along the furiously silent theodolites. dugouts maintain carefully. carefully e
169,"Supplier#000000169","uOtE MpVh5,w60zwb3KKry",13,23-698-509-1073,-927.50,posits nod slyly alongside of the carefully even packages. bold requests ca
170,"Supplier#000000170",ayz3a18xDGrr3jtS,23,33-803-340-5398,7392.78,"egular, even packages. pending, "
171,"Supplier#000000171",N9BpS8rkNyfpwhcD,10,20-229-200-1299,3549.54, special packages nag blithely according to the blithely ironic foxe
172,"Supplier#000000172",eOGIKr3p964Phi,22,32-481-329-1585,2077.39,aggle along the even depths. blithely final instructions integrate about the regula
173,"Supplier#000000173",dAaslV LunxGHBe45ovkMasHWD7jpju4VGoWkHuN,12,22-640-545-4690,9583.11,ges wake along the regular deposits. deposits integrate fluffily above the slyly even a
174,"Supplier#000000174",NZdeHwqAU9OtigMr,22,32-840-184-9487,-561.50,"ar theodolites. special, regular deposits are? slyly regular theodolites across th"
175,"Supplier#000000175",gKwrK3PpNxs8R,12,22-392-226-3266,9845.98,. furiously even ideas detect fluffily. daringly final requests are carefully express accou
176,"Supplier#000000176","df5DkycuSEVdLqBtcnHWshb,ZihiE0BiVXppJEKa",10,20-970-245-2712,6387.89,arefully regular dolphins. regula
177,"Supplier#000000177",j61rTlruYZZDs12WQa8,12,22-246-174-4465,-741.79,requests. carefully unusual requests alon
178,"Supplier#000000178",6hRniEC5HPoK,16,26-471-122-2582,4693.27,ins cajole slyly. never final theodolites are. 
179,"Supplier#000000179",OXFMX4Q76o,19,29-560-587-5604,7727.83, packages use furiously throughout the deposits. furiously ironic ideas h
180,"Supplier#000000180",ihslBWv1O80hBeffRVy2FAVbwWYU6pM7Sw MvpG,7,17-600-237-1665,2753.77,equests along the warhorses haggle slyly slow accounts. slyly even dependencies are even 
181,"Supplier#000000181",UKSQN2a33xkq2NC7ffn5h29ypKNNNkB2HTBfswQ,14,24-682-737-4806,3665.07,"the slyly bold foxes. stealthy, furious deposits doze. slyly express pi"
182,"Supplier#000000182",hx83kOzqN2OGJs5gEKCW4z,7,17-825-333-7344,7872.30,"ic pinto beans. even, express theodolites cajole blithely alongside of the finally expres"
183,"Supplier#000000183",tqqiwVSpm3xFF LLz40ITM,0,10-842-403-7954,-192.51,otes across the blithely special deposits haggle quickl
184,"Supplier#000000184",67PPOiBRwNBD0yhrVBkV60VRUFxNU1OzB3KC643r,1,11-802-685-1889,7448.53,refully above the regular dolphins. final ideas detect about the 
185,"Supplier#000000185","mWo,q59bGX",17,27-586-282-7422,5435.91,ly enticing ideas wake carefully alongs
