P_PARTKEY,P_NAME,P_MFGR,P_BRAND,P_TYPE,P_SIZE,P_CONTAINER,P_RETAILPRICE,P_COMMENT
23,coral lavender seashell rosy burlywood,"Manufacturer#3","Brand#35",MEDIUM BURNISHED TIN,42,JUMBO JAR,923.02,ts haggle
24,seashell coral metallic midnight floral,"Manufacturer#5","Brand#52",MEDIUM PLATED STEEL,20,MED CASE,924.02,press requ
25,aquamarine steel firebrick light turquoise,"Manufacturer#5","Brand#55",STANDARD BRUSHED COPPER,3,JUMBO BAG,925.02,ites can dete
26,beige frosted moccasin chocolate snow,"Manufacturer#3","Brand#32",SMALL BRUSHED STEEL,32,SM CASE,926.02,ingly slyly eve
27,saddle puff beige linen yellow,"Manufacturer#1","Brand#14",LARGE ANODIZED TIN,20,MED PKG,927.02,never iron
28,navajo yellow drab white misty,"Manufacturer#4","Brand#44",SMALL PLATED COPPER,19,JUMBO PKG,928.02,ilent requests are 
29,lemon sky grey salmon orchid,"Manufacturer#3","Brand#33",PROMO PLATED COPPER,7,LG DRUM,929.02,rs across the reg
30,cream misty steel spring medium,"Manufacturer#4","Brand#42",PROMO ANODIZED TIN,17,LG BOX,930.03,requests. fur
31,slate seashell steel medium moccasin,"Manufacturer#5","Brand#53",STANDARD BRUSHED TIN,10,LG BAG,931.03,s. furious
32,sandy wheat coral spring burnished,"Manufacturer#4","Brand#42",ECONOMY PLATED BRASS,31,LG CASE,932.03,ithely after the ac
33,spring bisque salmon slate pink,"Manufacturer#2","Brand#22",ECONOMY PLATED NICKEL,16,LG PKG,933.03,ake fu
34,khaki steel rose ghost salmon,"Manufacturer#1","Brand#13",LARGE BRUSHED STEEL,8,JUMBO BOX,934.03, accounts. car
35,green blush tomato burlywood seashell,"Manufacturer#4","Brand#43",MEDIUM ANODIZED BRASS,14,JUMBO PACK,935.03,structions. cour
36,chiffon tan forest moccasin dark,"Manufacturer#2","Brand#25",SMALL BURNISHED COPPER,3,JUMBO CAN,936.03,egrate s
37,royal coral orange burnished navajo,"Manufacturer#4","Brand#45",LARGE POLISHED TIN,48,JUMBO BOX,937.03,s nag a
38,seashell papaya white mint brown,"Manufacturer#4","Brand#43",ECONOMY ANODIZED BRASS,11,SM JAR,938.03,l requests. fur
39,rose medium floral salmon powder,"Manufacturer#5","Brand#53",SMALL POLISHED TIN,43,JUMBO JAR,939.03,tructions are doggedly
40,lemon midnight metallic sienna steel,"Manufacturer#2","Brand#25",ECONOMY BURNISHED COPPER,27,SM CASE,940.04, sleep furiously 
41,burlywood goldenrod pink peru sienna,"Manufacturer#2","Brand#23",ECONOMY ANODIZED TIN,7,WRAP JAR,941.04,ccounts along the furi
42,midnight turquoise lawn beige thistle,"Manufacturer#5","Brand#52",MEDIUM BURNISHED TIN,45,LG BOX,942.04,haggle q
43,medium lace midnight royal chartreuse,"Manufacturer#4","Brand#44",PROMO POLISHED STEEL,5,WRAP CASE,943.04,refully carefully ev
44,saddle cream wheat lemon burnished,"Manufacturer#4","Brand#45",MEDIUM PLATED TIN,48,SM PACK,944.04,ideas after the blithe
45,lawn peru ghost khaki maroon,"Manufacturer#4","Brand#43",SMALL BRUSHED NICKEL,9,WRAP BAG,945.04,ages. 
46,honeydew turquoise aquamarine spring tan,"Manufacturer#1","Brand#11",STANDARD POLISHED TIN,45,WRAP CASE,946.04,ly quickly pending pa
47,honeydew red azure magenta brown,"Manufacturer#4","Brand#45",LARGE BURNISHED BRASS,14,JUMBO PACK,947.04,ourts acros
48,slate thistle cornsilk pale forest,"Manufacturer#5","Brand#53",STANDARD BRUSHED STEEL,27,JUMBO CASE,948.04,d the quickly 
49,light firebrick cyan puff blue,"Manufacturer#2","Brand#24",SMALL BURNISHED TIN,31,MED DRUM,949.04,earls h
50,linen blanched tomato slate medium,"Manufacturer#3","Brand#33",LARGE ANODIZED TIN,25,WRAP PKG,950.05,y regul
51,lime frosted indian dodger linen,"Manufacturer#4","Brand#45",ECONOMY BURNISHED NICKEL,34,JUMBO PACK,951.05, furiou
52,lemon midnight lace sky deep,"Manufacturer#3","Brand#35",STANDARD BURNISHED TIN,25,WRAP CASE,952.05,ccording to the dep
53,bisque rose cornsilk seashell purple,"Manufacturer#2","Brand#23",ECONOMY BURNISHED NICKEL,32,MED BAG,953.05,ts ca
54,blanched mint yellow papaya cyan,"Manufacturer#2","Brand#21",LARGE BURNISHED COPPER,19,WRAP CASE,954.05,refully pe
55,sky cream deep tomato rosy,"Manufacturer#2","Brand#23",ECONOMY BRUSHED COPPER,9,MED BAG,955.05,ing packages
56,antique beige brown deep dodger,"Manufacturer#1","Brand#12",MEDIUM PLATED STEEL,20,WRAP DRUM,956.05,press ideas
57,purple blue light sienna deep,"Manufacturer#3","Brand#32",MEDIUM BURNISHED BRASS,49,MED PKG,957.05,encies. 
58,linen hot cornsilk drab bisque,"Manufacturer#5","Brand#53",STANDARD POLISHED TIN,44,LG PACK,958.05,carefully around the s
59,misty brown medium mint salmon,"Manufacturer#5","Brand#53",MEDIUM POLISHED TIN,2,LG BAG,959.05,structions.
60,snow spring sandy olive tomato,"Manufacturer#1","Brand#11",LARGE POLISHED COPPER,27,JUMBO CASE,960.06,fully 
61,light tan linen tomato peach,"Manufacturer#5","Brand#54",SMALL BURNISHED NICKEL,18,WRAP DRUM,961.06, furiously regu
62,tan cornsilk spring grey chocolate,"Manufacturer#3","Brand#35",STANDARD BRUSHED BRASS,39,JUMBO BOX,962.06," the even, ironic theo"
63,burnished puff coral light papaya,"Manufacturer#3","Brand#32",STANDARD BURNISHED NICKEL,10,JUMBO CAN,963.06,carefully
64,aquamarine coral lemon ivory gainsboro,"Manufacturer#2","Brand#21",MEDIUM ANODIZED BRASS,1,JUMBO CAN,964.06,ly even packages 
65,slate drab medium puff gainsboro,"Manufacturer#5","Brand#53",MEDIUM BRUSHED COPPER,3,MED CAN,965.06,fully furiously final
66,cornflower pale almond lemon linen,"Manufacturer#3","Brand#35",PROMO ANODIZED NICKEL,46,SM CASE,966.06,thely after the reg
67,slate salmon rose spring seashell,"Manufacturer#2","Brand#21",SMALL BRUSHED TIN,31,WRAP DRUM,967.06,to beans lo
68,bisque ivory mint purple almond,"Manufacturer#1","Brand#11",PROMO ANODIZED STEEL,10,WRAP BOX,968.06,bove the carefu
69,lace burnished rosy antique metallic,"Manufacturer#5","Brand#52",MEDIUM POLISHED BRASS,2,SM BOX,969.06, snooze quickl
70,violet seashell firebrick dark navajo,"Manufacturer#1","Brand#11",STANDARD BRUSHED STEEL,42,LG PACK,970.07, dolphins. bli
71,violet firebrick cream peru white,"Manufacturer#3","Brand#33",STANDARD PLATED BRASS,26,WRAP DRUM,971.07, wake slyly. carefu
72,hot spring yellow azure dodger,"Manufacturer#2","Brand#23",STANDARD ANODIZED TIN,25,JUMBO PACK,972.07,ld deposits acro
73,cream moccasin royal dim chiffon,"Manufacturer#2","Brand#21",SMALL BRUSHED COPPER,35,WRAP DRUM,973.07,yly fluf
74,frosted grey aquamarine thistle papaya,"Manufacturer#5","Brand#55",ECONOMY ANODIZED BRASS,25,JUMBO CASE,974.07,lar depos
75,aquamarine maroon wheat salmon metallic,"Manufacturer#3","Brand#35",SMALL BURNISHED NICKEL,39,SM JAR,975.07,fter the slyly
76,rosy light lime puff sandy,"Manufacturer#3","Brand#34",MEDIUM BRUSHED COPPER,9,SM PKG,976.07,cuses sleep quickly
77,mint bisque chiffon snow firebrick,"Manufacturer#5","Brand#52",STANDARD BRUSHED COPPER,13,MED PKG,977.07, packa
78,blush forest slate seashell puff,"Manufacturer#1","Brand#14",ECONOMY POLISHED STEEL,24,LG JAR,978.07,ending pinto beans 
79,gainsboro pink grey tan almond,"Manufacturer#4","Brand#45",PROMO ANODIZED BRASS,22,JUMBO BAG,979.07, packages impress bli
80,tomato chartreuse coral turquoise linen,"Manufacturer#4","Brand#44",PROMO PLATED BRASS,28,MED CAN,980.08,kages are blithely aft
81,misty sandy cornsilk dodger blush,"Manufacturer#5","Brand#53",ECONOMY BRUSHED TIN,21,MED BAG,981.08,carefully even
82,khaki tomato purple almond tan,"Manufacturer#1","Brand#15",ECONOMY POLISHED TIN,12,WRAP BOX,982.08,structions. carefull
83,blush green dim lawn peru,"Manufacturer#1","Brand#12",PROMO BURNISHED NICKEL,47,SM CAN,983.08,. platel
84,salmon floral cream rose dark,"Manufacturer#4","Brand#45",SMALL ANODIZED NICKEL,26,JUMBO PACK,984.08,ly bold i
85,dim deep aquamarine smoke pale,"Manufacturer#5","Brand#55",PROMO ANODIZED NICKEL,16,LG BAG,985.08,ithely 
86,green blanched firebrick dim cream,"Manufacturer#4","Brand#44",STANDARD PLATED TIN,37,LG CASE,986.08,telets among the
87,purple lace seashell antique orange,"Manufacturer#4","Brand#41",LARGE PLATED STEEL,41,WRAP PACK,987.08,en excuse
88,lime orange bisque chartreuse lemon,"Manufacturer#4","Brand#44",PROMO PLATED COPPER,16,SM CASE,988.08,cuses nag carefully 
89,ghost lace lemon sienna saddle,"Manufacturer#5","Brand#53",STANDARD BURNISHED STEEL,7,MED JAR,989.08,lithely regula
90,hot rosy violet plum pale,"Manufacturer#5","Brand#51",ECONOMY POLISHED STEEL,49,JUMBO CAN,990.09,ronic
91,misty bisque lavender spring turquoise,"Manufacturer#2","Brand#21",STANDARD BRUSHED TIN,32,JUMBO PKG,991.09,quickly fin
92,blush magenta ghost tomato rose,"Manufacturer#2","Brand#22",STANDARD ANODIZED TIN,35,JUMBO PKG,992.09, requests sleep among 
93,pale yellow cornsilk dodger moccasin,"Manufacturer#2","Brand#24",LARGE ANODIZED TIN,2,WRAP DRUM,993.09,press d
94,blanched pink frosted mint snow,"Manufacturer#3","Brand#35",STANDARD POLISHED BRASS,32,SM BOX,994.09,theodolites. fl
95,dodger beige wheat orchid navy,"Manufacturer#3","Brand#33",LARGE BRUSHED TIN,36,WRAP DRUM,995.09,yly. carefully pend
96,chocolate light firebrick rose indian,"Manufacturer#5","Brand#53",STANDARD BRUSHED STEEL,32,SM CASE,996.09,ic forges aft
97,coral dodger beige black chartreuse,"Manufacturer#3","Brand#33",MEDIUM POLISHED BRASS,49,WRAP CAN,997.09,furiously unusual e
98,frosted peru chiffon yellow aquamarine,"Manufacturer#5","Brand#54",STANDARD ANODIZED BRASS,22,MED JAR,998.09,ests wa
99,mint grey purple sienna metallic,"Manufacturer#2","Brand#21",SMALL BURNISHED STEEL,11,JUMBO PKG,999.09,y eve
100,cyan orchid indian cornflower saddle,"Manufacturer#3","Brand#33",ECONOMY ANODIZED TIN,4,LG BAG,1000.10,blithely acc
101,powder deep lavender violet gainsboro,"Manufacturer#3","Brand#32",LARGE ANODIZED STEEL,26,JUMBO JAR,1001.10, account
102,papaya maroon blush powder sky,"Manufacturer#3","Brand#31",MEDIUM BURNISHED BRASS,17,SM DRUM,1002.10, the ironi
103,navy sky spring orchid forest,"Manufacturer#2","Brand#25",MEDIUM PLATED BRASS,45,WRAP DRUM,1003.10,o the furiously 
104,plum cyan cornflower midnight royal,"Manufacturer#1","Brand#13",MEDIUM ANODIZED STEEL,36,JUMBO BAG,1004.10,ular packages afte
105,dodger slate pale mint navajo,"Manufacturer#1","Brand#15",SMALL POLISHED COPPER,27,LG DRUM,1005.10,ngside of the
106,cornsilk bisque seashell lemon frosted,"Manufacturer#3","Brand#31",MEDIUM PLATED BRASS,28,WRAP DRUM,1006.10,ep quickly alo
107,violet honeydew bisque sienna orchid,"Manufacturer#5","Brand#53",SMALL BURNISHED TIN,12,MED BOX,1007.10,y blithely final ep
108,bisque peach magenta tomato yellow,"Manufacturer#1","Brand#12",PROMO PLATED NICKEL,41,MED PKG,1008.10,ven depths detect. b
109,lemon black indian cornflower pale,"Manufacturer#3","Brand#33",ECONOMY POLISHED TIN,11,LG PACK,1009.10,y ironic fo
110,firebrick navy rose beige black,"Manufacturer#3","Brand#33",STANDARD BURNISHED COPPER,46,LG DRUM,1010.11,f the reque
111,orange cornflower mint snow peach,"Manufacturer#5","Brand#54",LARGE BRUSHED COPPER,28,JUMBO JAR,1011.11,es sleep slyly fur
112,hot aquamarine tomato lace indian,"Manufacturer#4","Brand#43",PROMO BRUSHED STEEL,42,JUMBO CAN,1012.11, deposits caj
113,almond seashell azure blanched light,"Manufacturer#3","Brand#31",PROMO POLISHED TIN,23,LG CAN,1013.11,ss theodolite
114,pink black blanched lace chartreuse,"Manufacturer#5","Brand#51",MEDIUM POLISHED NICKEL,41,MED PACK,1014.11,ithely regular request
115,spring chiffon cream orchid dodger,"Manufacturer#4","Brand#45",STANDARD POLISHED STEEL,24,MED CAN,1015.11,"slyly regular, ir"
116,goldenrod black slate forest red,"Manufacturer#5","Brand#53",PROMO POLISHED NICKEL,33,SM PACK,1016.11,pecial deposits ha
117,tomato honeydew pale red yellow,"Manufacturer#1","Brand#14",SMALL BRUSHED TIN,25,LG BAG,1017.11, after t
118,ghost plum brown coral cornsilk,"Manufacturer#2","Brand#25",PROMO ANODIZED TIN,31,MED PACK,1018.11,tions nag along
119,olive metallic slate peach green,"Manufacturer#4","Brand#43",LARGE POLISHED STEEL,30,WRAP CASE,1019.11,al depths cajole 
120,pink powder mint moccasin navajo,"Manufacturer#1","Brand#14",SMALL ANODIZED NICKEL,45,WRAP JAR,1020.12, inst
121,bisque royal goldenrod medium thistle,"Manufacturer#1","Brand#14",ECONOMY BRUSHED COPPER,13,SM PKG,1021.12,ecial 
122,gainsboro royal forest dark lace,"Manufacturer#2","Brand#21",MEDIUM ANODIZED TIN,8,LG DRUM,1022.12, care
123,deep dim peach light beige,"Manufacturer#1","Brand#12",SMALL BURNISHED TIN,31,JUMBO PKG,1023.12,final depo
124,wheat blush forest metallic navajo,"Manufacturer#3","Brand#32",PROMO ANODIZED STEEL,1,LG BOX,1024.12,eodolites?
125,mint ivory saddle peach midnight,"Manufacturer#1","Brand#12",STANDARD BRUSHED BRASS,17,WRAP BAG,1025.12,s wake specia
126,burnished black blue metallic orchid,"Manufacturer#4","Brand#45",MEDIUM BRUSHED NICKEL,4,LG BAG,1026.12,to the iron
127,royal coral orchid spring sky,"Manufacturer#5","Brand#52",SMALL BURNISHED NICKEL,14,LG JAR,1027.12,ns nag slyly
128,dark burlywood burnished snow sky,"Manufacturer#2","Brand#22",PROMO PLATED TIN,5,SM BAG,1028.12, packages. fluffily q
129,grey spring chiffon thistle lime,"Manufacturer#1","Brand#15",LARGE POLISHED TIN,20,SM JAR,1029.12,s instru
130,gainsboro powder cyan pale rosy,"Manufacturer#2","Brand#23",SMALL PLATED NICKEL,26,LG BOX,1030.13,nic packa
131,tomato moccasin cyan brown goldenrod,"Manufacturer#5","Brand#52",STANDARD ANODIZED BRASS,43,MED DRUM,1031.13, the regular
132,seashell papaya tomato lime hot,"Manufacturer#4","Brand#45",STANDARD BURNISHED BRASS,2,WRAP DRUM,1032.13,ven somas 
133,firebrick black dodger pink salmon,"Manufacturer#1","Brand#13",SMALL BRUSHED NICKEL,19,LG PKG,1033.13, foxes can unwind 
134,steel beige mint maroon indian,"Manufacturer#4","Brand#42",SMALL POLISHED STEEL,35,SM PKG,1034.13,nic platele
135,thistle chocolate ghost gainsboro peru,"Manufacturer#2","Brand#21",MEDIUM BURNISHED STEEL,24,JUMBO CASE,1035.13,hely. bo
136,cornsilk maroon blanched thistle rosy,"Manufacturer#2","Brand#22",SMALL PLATED STEEL,2,WRAP BAG,1036.13,efully. even excuses 
137,cornsilk drab ghost sandy royal,"Manufacturer#3","Brand#31",ECONOMY PLATED STEEL,25,MED PACK,1037.13,unts 
138,dark aquamarine tomato medium puff,"Manufacturer#1","Brand#13",ECONOMY BURNISHED COPPER,42,JUMBO DRUM,1038.13, deposits. sl
139,floral steel burlywood navy cream,"Manufacturer#3","Brand#32",MEDIUM BRUSHED STEEL,7,SM BOX,1039.13, depo
140,aquamarine lavender maroon slate hot,"Manufacturer#5","Brand#53",STANDARD PLATED STEEL,45,SM BOX,1040.14,ffily about th
141,honeydew magenta tomato spring medium,"Manufacturer#3","Brand#35",STANDARD ANODIZED STEEL,23,SM PKG,1041.14,ly special packages a
142,chartreuse linen grey slate saddle,"Manufacturer#5","Brand#55",STANDARD ANODIZED BRASS,36,MED JAR,1042.14,the dogged instr
143,bisque dodger blanched steel maroon,"Manufacturer#3","Brand#34",ECONOMY PLATED TIN,44,MED BAG,1043.14,ular instructi
144,hot midnight orchid dim steel,"Manufacturer#1","Brand#14",SMALL ANODIZED TIN,26,SM BOX,1044.14,bold 
145,navajo lavender chocolate deep hot,"Manufacturer#5","Brand#53",PROMO BRUSHED COPPER,24,SM BAG,1045.14,times final requests. 
146,azure smoke mint cream burlywood,"Manufacturer#3","Brand#34",STANDARD BRUSHED COPPER,11,WRAP PACK,1046.14,s cajole ca
147,honeydew orange dodger linen lace,"Manufacturer#1","Brand#11",MEDIUM PLATED COPPER,29,JUMBO PKG,1047.14,dencies sleep. s
148,yellow white ghost lavender salmon,"Manufacturer#3","Brand#31",STANDARD PLATED STEEL,20,SM BOX,1048.14,ven orbits cajole
149,tan thistle frosted indian lawn,"Manufacturer#2","Brand#24",MEDIUM BURNISHED NICKEL,6,MED PKG,1049.14,s. carefully regul
150,pale rose navajo firebrick aquamarine,"Manufacturer#3","Brand#35",LARGE BRUSHED TIN,21,SM BAG,1050.15,lyly even pl
151,chartreuse linen violet ghost thistle,"Manufacturer#3","Brand#34",LARGE PLATED BRASS,45,MED CAN,1051.15,boost blithel
152,white sky antique tomato chartreuse,"Manufacturer#5","Brand#53",MEDIUM POLISHED STEEL,48,MED CASE,1052.15,final accounts.
153,linen frosted slate coral peru,"Manufacturer#1","Brand#11",STANDARD PLATED TIN,20,MED BAG,1053.15,y pending reque
154,peru moccasin peach pale spring,"Manufacturer#1","Brand#11",ECONOMY ANODIZED TIN,1,JUMBO BAG,1054.15, sleep 
155,puff yellow cyan tomato purple,"Manufacturer#2","Brand#21",SMALL BRUSHED NICKEL,28,WRAP CASE,1055.15,ntegrate iron
156,almond ghost powder blush forest,"Manufacturer#4","Brand#43",SMALL POLISHED NICKEL,2,LG PKG,1056.15, blithely final d
157,navajo linen coral brown forest,"Manufacturer#1","Brand#11",ECONOMY ANODIZED STEEL,26,JUMBO PACK,1057.15,eposits wake c
158,magenta light misty navy honeydew,"Manufacturer#4","Brand#45",MEDIUM BURNISHED COPPER,47,LG JAR,1058.15,grate. regular dep
159,white orange antique beige aquamarine,"Manufacturer#4","Brand#43",SMALL ANODIZED BRASS,46,SM BAG,1059.15,ongside of the carefu
160,frosted cornflower khaki salmon metallic,"Manufacturer#5","Brand#55",STANDARD POLISHED COPPER,47,JUMBO CAN,1060.16,y. special ideas 
161,metallic khaki navy forest cyan,"Manufacturer#2","Brand#22",STANDARD PLATED TIN,17,SM PACK,1061.16,its. fur
162,burlywood cornflower aquamarine misty snow,"Manufacturer#3","Brand#33",MEDIUM ANODIZED COPPER,35,JUMBO PACK,1062.16,special platelets
163,blush metallic maroon lawn forest,"Manufacturer#2","Brand#21",ECONOMY PLATED TIN,34,WRAP DRUM,1063.16,. qui
164,orange cyan magenta navajo indian,"Manufacturer#2","Brand#23",LARGE PLATED BRASS,35,JUMBO BAG,1064.16, bold p
165,white dim cornflower sky seashell,"Manufacturer#1","Brand#15",STANDARD PLATED STEEL,24,SM CAN,1065.16,quickly ironic
166,linen bisque tomato gainsboro goldenrod,"Manufacturer#5","Brand#52",LARGE POLISHED COPPER,4,MED BAG,1066.16,to bea
167,almond floral grey dim sky,"Manufacturer#3","Brand#32",LARGE ANODIZED STEEL,46,WRAP BOX,1067.16,cajol
168,lace gainsboro burlywood smoke tomato,"Manufacturer#1","Brand#13",SMALL BRUSHED COPPER,20,JUMBO DRUM,1068.16,s. furious
169,bisque misty sky cornflower peach,"Manufacturer#5","Brand#55",STANDARD POLISHED BRASS,10,JUMBO CASE,1069.16,"e final, final ex"
170,peru grey blanched goldenrod yellow,"Manufacturer#3","Brand#33",LARGE POLISHED COPPER,28,LG DRUM,1070.17,the d
171,beige violet black magenta chartreuse,"Manufacturer#1","Brand#11",STANDARD BURNISHED COPPER,40,LG JAR,1071.17,ogged 
172,medium goldenrod linen sky coral,"Manufacturer#5","Brand#53",PROMO PLATED NICKEL,28,MED CASE,1072.17,ctions s
173,chartreuse seashell powder navy grey,"Manufacturer#1","Brand#12",ECONOMY BURNISHED TIN,17,LG CASE,1073.17,al requests detect. ex
174,hot cornflower slate saddle pale,"Manufacturer#1","Brand#15",ECONOMY BRUSHED COPPER,25,LG CASE,1074.17,across the reque
175,magenta blue chartreuse tan green,"Manufacturer#1","Brand#11",PROMO ANODIZED TIN,45,JUMBO JAR,1075.17,arefully furiou
176,pink drab ivory papaya grey,"Manufacturer#2","Brand#24",SMALL ANODIZED STEEL,40,MED CAN,1076.17,even pinto beans
177,indian turquoise purple green spring,"Manufacturer#2","Brand#21",MEDIUM BRUSHED STEEL,42,LG BAG,1077.17, even requests
178,lace blanched magenta yellow almond,"Manufacturer#1","Brand#13",STANDARD POLISHED TIN,10,LG JAR,1078.17,requests haggle caref
179,deep puff brown blue burlywood,"Manufacturer#4","Brand#43",ECONOMY BRUSHED STEEL,20,LG JAR,1079.17,en packag
180,seashell maroon lace burnished lavender,"Manufacturer#3","Brand#33",STANDARD BURNISHED NICKEL,7,WRAP BAG,1080.18,y furiou
181,antique plum smoke pink dodger,"Manufacturer#2","Brand#24",MEDIUM PLATED STEEL,19,WRAP CAN,1081.18,es are about
182,beige cyan burlywood chiffon light,"Manufacturer#3","Brand#31",MEDIUM ANODIZED COPPER,11,JUMBO CAN,1082.18,ajole bli
183,ivory white burnished papaya cornflower,"Manufacturer#5","Brand#52",PROMO POLISHED STEEL,35,LG PKG,1083.18,y final accounts
184,ghost honeydew cyan lawn powder,"Manufacturer#5","Brand#53",SMALL POLISHED TIN,42,LG BOX,1084.18,h carefully regular t
185,firebrick black ivory spring medium,"Manufacturer#4","Brand#44",ECONOMY POLISHED TIN,4,WRAP BAG,1085.18,"al, ironi"
186,grey purple chocolate turquoise plum,"Manufacturer#2","Brand#23",ECONOMY BRUSHED TIN,15,JUMBO PKG,1086.18, along
187,white red lace deep pale,"Manufacturer#4","Brand#45",PROMO ANODIZED BRASS,45,MED CAN,1087.18,of the caref
188,moccasin steel rosy drab white,"Manufacturer#5","Brand#54",ECONOMY ANODIZED BRASS,9,MED CAN,1088.18,ole across the fina
189,dodger moccasin lemon purple thistle,"Manufacturer#2","Brand#22",MEDIUM BRUSHED BRASS,13,WRAP DRUM,1089.18,"ed, special foxes. fin"
190,chartreuse goldenrod midnight cornflower blush,"Manufacturer#5","Brand#53",LARGE BURNISHED NICKEL,23,WRAP BAG,1090.19,uriously regular 
191,mint midnight puff forest peach,"Manufacturer#3","Brand#31",MEDIUM POLISHED BRASS,36,WRAP BOX,1091.19,fily even 
192,thistle puff pink cream orange,"Manufacturer#3","Brand#34",STANDARD BRUSHED COPPER,17,MED BAG,1092.19,to the packages. car
193,turquoise lime royal metallic azure,"Manufacturer#4","Brand#45",ECONOMY BURNISHED BRASS,31,SM PKG,1093.19,al deposits wake. qui
194,brown black cream navy plum,"Manufacturer#5","Brand#51",ECONOMY POLISHED STEEL,7,SM CAN,1094.19,onic pinto beans
195,bisque sienna hot goldenrod khaki,"Manufacturer#4","Brand#41",STANDARD BRUSHED NICKEL,40,MED CASE,1095.19,nic requests ha
196,pale peru linen hot maroon,"Manufacturer#3","Brand#33",SMALL BURNISHED NICKEL,3,JUMBO JAR,1096.19,s affix quickly
197,lawn lemon khaki rosy blue,"Manufacturer#5","Brand#52",SMALL ANODIZED COPPER,18,SM JAR,1097.19,ickly unusual notorni
198,orange cornflower indian aquamarine white,"Manufacturer#4","Brand#41",PROMO BRUSHED NICKEL,43,SM PACK,1098.19,y silent accounts are
199,ivory slate lavender tan royal,"Manufacturer#3","Brand#31",ECONOMY PLATED STEEL,23,JUMBO DRUM,1099.19,deposits. s
200,peach cornsilk navy rosy red,"Manufacturer#5","Brand#54",MEDIUM POLISHED BRASS,22,LG PKG,1100.20, quickly above the 
201,dodger white chiffon moccasin green,"Manufacturer#4","Brand#42",SMALL POLISHED STEEL,18,JUMBO BAG,1101.20,he bold do
202,brown violet turquoise frosted navajo,"Manufacturer#4","Brand#45",MEDIUM BRUSHED COPPER,49,MED DRUM,1102.20,ve the speci
203,beige cornflower gainsboro chiffon wheat,"Manufacturer#5","Brand#55",STANDARD ANODIZED STEEL,42,MED BAG,1103.20,ut the furiously
204,floral powder deep linen hot,"Manufacturer#5","Brand#54",LARGE BURNISHED COPPER,22,SM JAR,1104.20, slyly ag
205,navajo bisque gainsboro forest coral,"Manufacturer#5","Brand#54",ECONOMY PLATED NICKEL,2,JUMBO DRUM,1105.20,unusual deposits.
