O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT
165,545,F,178521.70,1993-01-30,4-NOT SPECIFIED,"Clerk#000000292",0,uriously carefully regular warhorses. unus
166,2158,O,145317.55,1995-09-12,2-HIGH,"Clerk#000000440",0,uses sleep quickly furiously even gi
167,2389,F,57428.07,1993-01-04,4-NOT SPECIFIED,"Clerk#000000731",0, carefully above the express packages. brav
192,1652,O,203263.26,1997-11-25,5-LOW,"Clerk#000000483",0,ic decoys. final platelets wake slyly. furiously final platele
193,1582,F,71604.45,1993-08-08,1-URGENT,"Clerk#000000025",0,p furiously alongside o
194,1235,F,164871.46,1992-04-05,3-MEDIUM,"Clerk#000000352",0,"fter the regular requests. express instructions above the ironic, ir"
195,2710,F,202473.02,1993-12-28,3-MEDIUM,"Clerk#000000216",0,ly express pinto beans. regular requests s
196,1297,F,46783.91,1993-03-17,2-HIGH,"Clerk#000000988",0,es. pending theodolites hinder quickly
197,652,P,155571.38,1995-04-07,2-HIGH,"Clerk#000000969",0,he final accounts. sometimes unusual deposits about the carefully final re
198,2206,O,149970.82,1998-01-02,4-NOT SPECIFIED,"Clerk#000000331",0,y theodolites cajole. blithely special packages haggle furi
199,1060,O,121553.41,1996-03-07,2-HIGH,"Clerk#000000489",0,lyly express frets. blithely 
224,50,F,217028.60,1994-06-18,4-NOT SPECIFIED,"Clerk#000000642",0,sly bold pinto beans. unusual deposi
225,661,P,260602.57,1995-05-25,1-URGENT,"Clerk#000000177",0,. blithely regular requests sleep furiously across the slyly 
226,2551,F,296591.74,1993-03-10,2-HIGH,"Clerk#000000756",0,y silent requests. fluffily even deposits 
227,199,O,56269.12,1995-11-10,5-LOW,"Clerk#000000919",0,wake blithely alongside of the flu
228,883,F,2860.82,1993-02-25,1-URGENT,"Clerk#000000562",0,final accounts impress ironically slow theodolites. blithely pend
229,2236,F,179815.63,1993-12-29,1-URGENT,"Clerk#000000628",0, foxes. quickly pending theodolites sleep 
230,2051,F,149912.96,1993-10-27,1-URGENT,"Clerk#000000520",0,ely special accounts according
231,1817,F,206517.88,1994-09-29,2-HIGH,"Clerk#000000446",0,ly carefully regular deposits. carefully even packages at 
256,2497,F,150981.37,1993-10-19,4-NOT SPECIFIED,"Clerk#000000834",0,foxes affix ironically fluffily final requests. carefully sil
257,2455,O,12398.77,1998-03-28,3-MEDIUM,"Clerk#000000680",0,uriously pending deposits! regular foxes sleep aft
258,838,F,276510.33,1993-12-29,1-URGENT,"Clerk#000000167",0,yly unusual excuses use carefully. carefully ruthless epitaphs aro
259,865,F,113429.57,1993-09-29,4-NOT SPECIFIED,"Clerk#000000601",0,blithely final packages. quickly even accounts detect quickly. slyly ironic fo
260,2095,O,252135.33,1996-12-10,3-MEDIUM,"Clerk#000000960",0,final packages. accounts snooze alongside of the f
261,922,F,252578.54,1993-06-29,3-MEDIUM,"Clerk#000000310",0,cajole along the slyly even theodolites. f
262,608,O,142778.99,1995-11-25,4-NOT SPECIFIED,"Clerk#000000551",0,ate fluffily under the quickly regular ideas. qui
263,2323,F,130098.27,1994-05-17,2-HIGH,"Clerk#000000088",0,olites sleep ironic instructions. 
288,142,O,215953.79,1997-02-21,1-URGENT,"Clerk#000000109",0,"nts wake. even, pending pinto beans boost quic"
289,2075,O,201957.77,1997-02-10,3-MEDIUM,"Clerk#000000103",0,ld multipliers cajole furi
290,2360,F,75839.27,1994-01-01,4-NOT SPECIFIED,"Clerk#000000735",0,s use slyly alongside of the f
291,2821,F,89149.98,1994-03-13,1-URGENT,"Clerk#000000923",0,jole carefully. finally final packages above
292,446,F,50562.20,1992-01-13,2-HIGH,"Clerk#000000193",0,haggle blithely according to the i
293,599,F,48262.39,1992-10-02,2-HIGH,"Clerk#000000629",0, wake. blithely regular requests enga
294,1010,F,34259.08,1993-07-16,3-MEDIUM,"Clerk#000000499",0,s use above the even packages. furiously even accounts wa
295,380,F,137262.52,1994-09-29,2-HIGH,"Clerk#000000155",0,"s promise idly ironic, special requests. carefu"
320,7,O,50510.92,1997-11-21,2-HIGH,"Clerk#000000573",0,ts haggle even excuse
321,2452,F,89453.97,1993-03-21,3-MEDIUM,"Clerk#000000289",0,". packages sleep furiously above the slyly stealthy requests. pending,"
322,2671,F,190135.74,1992-03-19,1-URGENT,"Clerk#000000158",0, the furiously final deposits use never pending foxes. slyly even deposits c
323,784,F,106086.07,1994-03-26,1-URGENT,"Clerk#000000959",0,endencies cajole blithely deposits. foxes unwind across the
324,2104,F,46254.63,1992-03-20,1-URGENT,"Clerk#000000352",0,y after the carefully final accounts. ironic instructions alongside 
325,802,F,87247.97,1993-10-17,5-LOW,"Clerk#000000844",0,ptotes hinder across th
326,1520,O,333757.86,1995-06-04,2-HIGH,"Clerk#000000466",0,etect fluffily. carefully express theodolites above the closely even gifts 
327,2893,P,42733.02,1995-04-17,5-LOW,"Clerk#000000992",0, slyly across the blithely final ideas. fluffily eve
352,2131,F,19543.26,1994-03-08,2-HIGH,"Clerk#000000932",0,detect above the quickly ironic theodolites. pending accounts dazzle
353,37,F,241648.78,1993-12-31,5-LOW,"Clerk#000000449",0,"ar, regular attainments are carefully furiously express deposits"
354,2767,O,209335.69,1996-03-14,2-HIGH,"Clerk#000000511",0,"al, express packages cajole furiously besides the carefully final package"
355,1402,F,106689.48,1994-06-14,5-LOW,"Clerk#000000532",0,ly regular theodolites. blithely ironic requests could have to ha
356,2938,F,191701.98,1994-06-30,4-NOT SPECIFIED,"Clerk#000000944",0, slyly final pinto beans. special packa
357,1208,O,125893.38,1996-10-09,2-HIGH,"Clerk#000000301",0,lithely special packages. quickly express instructio
358,46,F,328269.87,1993-09-20,2-HIGH,"Clerk#000000392",0,n excuses. special requests sleep. silent dolphins
359,1552,F,199823.66,1994-12-19,3-MEDIUM,"Clerk#000000934",0,bout the blithely final accounts detect slyly dependencies. deposi
384,2261,F,167410.69,1992-03-03,5-LOW,"Clerk#000000206",0,"deposits wake slyly above the bold dolphins. special, ev"
385,659,O,52250.98,1996-03-22,5-LOW,"Clerk#000000600",0,"excuses are slyly express, fina"
386,1204,F,107648.15,1995-01-25,2-HIGH,"Clerk#000000648",0,ackages. courts are unusual deposits. bold requests serve quickly along the qu
387,67,O,185011.96,1997-01-26,4-NOT SPECIFIED,"Clerk#000000768",0,even platelets cajole slyly. ironic ideas affix furiously pending de
388,895,F,173972.12,1992-12-16,4-NOT SPECIFIED,"Clerk#000000356",0,ly regular pinto beans boost carefully special pearls. carefully e
389,2540,F,3075.39,1994-02-17,2-HIGH,"Clerk#000000062",0, ironic packages detect carefully. fluffily even pinto beans thrash slyly 
390,2053,O,250689.01,1998-04-07,5-LOW,"Clerk#000000404",0,r pinto beans. final instructions boost across the the
391,2206,F,17340.64,1994-11-17,2-HIGH,"Clerk#000000256",0,eas after the regula
416,803,F,101302.24,1993-09-27,5-LOW,"Clerk#000000294",0,. deposits haggle along the slyly
417,1093,F,159682.16,1994-02-06,3-MEDIUM,"Clerk#000000468",0,are slyly. deposits boost above the blithely bold excuses. deposits cajole fu
418,1897,P,46451.27,1995-04-13,4-NOT SPECIFIED,"Clerk#000000643",0,symptotes engage accounts.
419,2326,O,137237.97,1996-10-01,3-MEDIUM,"Clerk#000000376",0, wake carefully after the fluffily ironic accounts.
420,1804,O,285622.37,1995-10-31,4-NOT SPECIFIED,"Clerk#000000756",0,"y above the pinto beans. blithely ironic foxes wake furiously ironic, ironic d"
421,784,F,1640.69,1992-02-22,5-LOW,"Clerk#000000405",0,"ular accounts could was about the bold, bold asy"
422,1462,O,122105.44,1997-05-31,4-NOT SPECIFIED,"Clerk#000000049",0,aggle about the slyly regular accounts. slyly express ideas doub
423,2068,O,40274.21,1996-06-01,1-URGENT,"Clerk#000000674",0,y bold theodolites wake blithely. slyly ironic deposits alongside
448,2993,O,162081.96,1995-08-21,3-MEDIUM,"Clerk#000000597",0,ly bold excuses. packages after the slowly
449,1916,O,40996.46,1995-07-20,2-HIGH,"Clerk#000000841",0,ly above the slowly ironic packages. furiously 
450,949,P,179077.86,1995-03-05,4-NOT SPECIFIED,"Clerk#000000293",0,never blithely ironic theodolites: special depe
451,1976,O,160028.48,1998-05-25,5-LOW,"Clerk#000000048",0,furiously silent excuses wake carefully along 
452,1192,O,2363.79,1997-10-14,1-URGENT,"Clerk#000000498",0,"es. courts poach sometimes. thin, express packages a"
453,881,O,342397.01,1997-05-26,5-LOW,"Clerk#000000504",0,n multipliers run according to the carefully even pack
454,976,O,28581.11,1995-12-27,5-LOW,"Clerk#000000890",0,"en, bold dependencies are final packages. blithely special ideas"
455,242,O,205163.21,1996-12-04,1-URGENT,"Clerk#000000796",0,poach. slyly final frays cajole. pac
480,1429,F,20336.88,1993-05-08,5-LOW,"Clerk#000000004",0,deposits about the blithely final realms use thinly alongside of the slyly fi
481,608,F,162760.36,1992-10-08,2-HIGH,"Clerk#000000230",0,y regular platelets alongside of the ide
482,2503,O,211987.33,1996-03-26,1-URGENT,"Clerk#000000295",0,silent warthogs. furiously ir
483,697,O,63226.69,1995-07-11,2-HIGH,"Clerk#000000025",0, haggle furiously at the in
484,1085,O,331846.11,1997-01-03,3-MEDIUM,"Clerk#000000545",0, boost carefully against the regular deposits. express frays impress s
485,2012,O,185939.44,1997-03-26,2-HIGH,"Clerk#000000105",0,uickly final deposits haggle closely 
486,1018,O,285286.19,1996-03-11,4-NOT SPECIFIED,"Clerk#000000803",0,ironic excuses according to the furiou
487,2158,F,84684.68,1992-08-18,1-URGENT,"Clerk#000000086",0,sits wake alongside of the slyly 
512,1261,P,181621.35,1995-05-20,5-LOW,"Clerk#000000814",0," are bold, express deposits. ironic deposits doze across the quic"
513,1213,O,80879.97,1995-05-01,2-HIGH,"Clerk#000000522",0,"luffy packages affix. ironic, ironic requests haggle against th"
514,1498,O,132485.88,1996-04-04,2-HIGH,"Clerk#000000094",0," furiously ruthless dugouts. slow, regular accounts sublate against the ac"
515,2837,F,208699.57,1993-08-29,4-NOT SPECIFIED,"Clerk#000000700",0,instructions wake carefully regular hockey players. slyly specia
516,880,O,16166.52,1998-04-21,2-HIGH,"Clerk#000000305",0, the deposits. regular packages wake about the tithes. ironic requests wake b
517,185,O,127469.28,1997-04-07,5-LOW,"Clerk#000000359",0,tect fluffily among the slyly pending packages. foxes 
518,2888,O,321959.79,1998-02-08,2-HIGH,"Clerk#000000768",0,lithely regular packages haggle stealthily slyly close de
519,1261,O,123266.90,1997-10-31,1-URGENT,"Clerk#000000985",0,ckages sleep furiously according 
544,1868,F,76670.40,1993-02-17,2-HIGH,"Clerk#000000145",0,lyly along the ironic requests. blithely spe
545,1264,O,28607.20,1995-11-07,2-HIGH,"Clerk#000000537",0,oss the furiously ironic ideas. carefully 
546,2866,O,23928.29,1996-11-01,2-HIGH,"Clerk#000000041",0,nts boost evenly. furiously ironic packages nag
547,1966,O,142586.61,1996-06-22,3-MEDIUM,"Clerk#000000976",0, bold deposits sublate quickly express ac
548,2477,F,114710.54,1994-09-21,1-URGENT,"Clerk#000000435",0,uld haggle. quickly spe
549,2200,F,206780.27,1992-07-13,1-URGENT,"Clerk#000000196",0,the blithely specia
550,472,O,51931.66,1995-08-02,1-URGENT,"Clerk#000000204",0, are furiously slyly 
551,1793,O,51196.91,1995-05-30,1-URGENT,"Clerk#000000179",0,ns sublate blithely from t
576,592,O,30555.47,1997-05-13,3-MEDIUM,"Clerk#000000955",0,ly bold requests are carefully fluffily even dep
577,1103,F,49140.38,1994-12-19,5-LOW,"Clerk#000000154",0,gular ideas are furiously.
578,1852,O,81745.91,1997-01-10,5-LOW,"Clerk#000000281",0, deposits cajole slyly regular accounts. blithely iro
579,1342,O,156479.63,1998-03-11,2-HIGH,"Clerk#000000862",0,ages. furiously bold requests haggle s
580,1186,O,128060.14,1997-07-05,2-HIGH,"Clerk#000000314",0,s are ironic theodolites. acco
581,1375,O,153138.73,1997-02-23,4-NOT SPECIFIED,"Clerk#000000239",0, slyly final requests. furiously final waters cajole
582,988,O,159986.71,1997-10-21,1-URGENT,"Clerk#000000378",0,dependencies after th
583,943,O,185060.07,1997-03-19,3-MEDIUM,"Clerk#000000792",0,"unusual, pending platelets"
608,520,O,90601.50,1996-02-28,3-MEDIUM,"Clerk#000000995",0,t the fluffily unusual asymptotes
609,2503,F,26464.11,1994-06-01,3-MEDIUM,"Clerk#000000348",0,deas serve slyly. slyly even pains 
610,1015,O,247128.68,1995-08-02,1-URGENT,"Clerk#000000610",0,excuses boost. ironic pinto b
611,2110,F,96945.33,1993-01-27,1-URGENT,"Clerk#000000401",0,ckly bold theodolites. bl
612,1630,F,219300.77,1992-10-21,3-MEDIUM,"Clerk#000000759",0,ccounts. enticingly unusual dependencies haggle slyly. furiously 
613,2767,O,49984.00,1995-06-18,2-HIGH,"Clerk#000000172",0,"ts. unusual, ironic pinto beans promise blithely ex"
614,2666,F,328598.02,1992-12-01,2-HIGH,"Clerk#000000388",0,gle. fluffily ironic deposits s
615,1309,F,32497.87,1992-05-09,5-LOW,"Clerk#000000388",0,s pinto beans sleep ruthlessly final deposits. slyly special idea
640,1903,F,216816.52,1993-01-23,2-HIGH,"Clerk#000000433",0,ages nag among the deposits. fluffily unusual instructions shall ha
641,2657,F,171802.25,1993-08-30,5-LOW,"Clerk#000000175",0,ar accounts. carefully furious deposits are slyly 
642,799,F,23477.02,1993-12-16,3-MEDIUM,"Clerk#000000357",0,regular asymptotes. ironic accounts boost alon
643,1156,P,245270.44,1995-03-25,2-HIGH,"Clerk#000000354",0,ts along the carefully even asymp
644,148,F,271845.42,1992-05-01,1-URGENT,"Clerk#000000550",0,se blithely. bold attainments affix furiously even notornis. blithely bo
645,2285,F,318012.55,1994-12-03,2-HIGH,"Clerk#000000090",0,"es. ironic, regular requests haggle agains"
646,1009,F,205308.03,1994-11-22,2-HIGH,"Clerk#000000203",0,ions believe across the bl
647,2860,O,68418.64,1997-08-07,1-URGENT,"Clerk#000000270",0, affix carefully special excuses. instructions haggle blithel
672,2162,F,131115.04,1994-04-14,5-LOW,"Clerk#000000106",0,esias wake along the furiously special requ
673,1583,F,28545.18,1994-03-10,1-URGENT,"Clerk#000000448",0,its boost. regular ideas according to the silently bold
674,664,F,25990.60,1992-08-29,5-LOW,"Clerk#000000448",0," print final accounts. unusual courts wake according to the final, even depo"
675,235,O,173387.56,1997-07-31,2-HIGH,"Clerk#000000168",0,s. slyly final accounts a
676,760,O,211754.21,1996-12-13,2-HIGH,"Clerk#000000248",0,uffily according to the slyly expres
677,2479,F,203117.59,1993-11-24,3-MEDIUM,"Clerk#000000824",0, carefully silent requests integrate carefully ab
678,2614,F,235949.98,1993-02-27,5-LOW,"Clerk#000000530",0,arthogs! quickly final deposits 
679,970,O,14249.20,1995-12-15,2-HIGH,"Clerk#000000853",0,e furiously alongside of the slyly even packages. blithely ironic dependencies
704,1688,O,81720.78,1996-11-21,3-MEDIUM,"Clerk#000000682",0,c depths sleep furiously according to the quickly pending de
705,856,O,117599.94,1997-02-13,4-NOT SPECIFIED,"Clerk#000000294",0,"structions wake ironic, final theodolites. furiously ironic accounts shal"
706,2948,O,40136.92,1995-09-09,1-URGENT,"Clerk#000000448",0,y express instructions! quic
707,2323,F,75167.39,1994-11-20,3-MEDIUM,"Clerk#000000199",0," ideas. special, regular ideas boost carefully. req"
708,631,O,145232.21,1998-07-03,3-MEDIUM,"Clerk#000000101",0,heodolites boost slyl
709,721,O,90473.69,1998-04-21,1-URGENT,"Clerk#000000461",0,nto beans. furiously final accounts cajole pe
710,2623,F,271246.32,1993-01-02,5-LOW,"Clerk#000000026",0,ously dogged foxes. final requests cajole. ir
711,1274,F,117509.08,1993-09-23,4-NOT SPECIFIED,"Clerk#000000856",0,p. ironic attainments haggle always 
736,928,O,160981.07,1998-06-21,5-LOW,"Clerk#000000881",0,sts. regular ideas wake
737,2395,F,18485.70,1992-04-26,5-LOW,"Clerk#000000233",0,y ironic excuses need to cajole fluffily across the blithely enticing 
738,416,F,166909.32,1993-03-02,4-NOT SPECIFIED,"Clerk#000000669",0,s. requests play between the enticing attainments; 
739,7,O,245133.88,1998-05-31,5-LOW,"Clerk#000000900",0,s. even foxes are slyly. bold accounts haggle. iron
740,869,O,114282.93,1995-07-16,3-MEDIUM,"Clerk#000000583",0,"lyly even packages. close, bold courts about th"
741,2090,O,76541.55,1998-07-07,2-HIGH,"Clerk#000000295",0,otes sleep quickly along the furiously regular r
742,2057,F,253975.77,1994-12-23,5-LOW,"Clerk#000000543",0,thely even accounts. slyly bold deposits use always around the fu
743,1567,O,37488.17,1996-10-04,4-NOT SPECIFIED,"Clerk#000000933",0,y pending requests sleep carefully quickly regular accounts. 
768,1942,O,346023.14,1996-08-20,3-MEDIUM,"Clerk#000000411",0,s deposits nag furiously. furiously regular
769,1600,F,55046.96,1993-06-02,3-MEDIUM,"Clerk#000000172",0,ptotes. blithely express packages boost furiously special instructio
770,640,O,80597.60,1998-05-23,5-LOW,"Clerk#000000572",0,thely bold ideas do boost slyly pending instructions
771,892,O,133797.54,1995-06-17,1-URGENT,"Clerk#000000105",0,ly regular deposits nag slyly. final foxes wake ca
772,1930,F,160522.30,1993-04-17,2-HIGH,"Clerk#000000430",0,es haggle furiously unusual platelets. ironic requests 
773,2638,F,201345.90,1993-09-26,3-MEDIUM,"Clerk#000000307",0,gouts boost fluffily. fluffily pending requests play alongside of the fur
774,1592,O,215575.25,1995-12-04,1-URGENT,"Clerk#000000883",0,are above the blithel
775,2665,F,75894.49,1995-03-18,1-URGENT,"Clerk#000000191",0,"e special, ironic excuses! silent deposits among the furiously"
800,1120,O,123886.21,1998-07-14,2-HIGH,"Clerk#000000213",0,eas thrash blithely at the carefully pending accounts. furiously final r
801,2356,F,174337.51,1992-02-18,1-URGENT,"Clerk#000000186",0,unts according to the boldly regular pain
802,2734,F,231964.39,1995-01-05,1-URGENT,"Clerk#000000516",0,ly final accounts cajole. blithely regular accounts s
803,289,O,45748.73,1997-04-29,5-LOW,"Clerk#000000260",0,ake furiously according to the bravely special tithes. blithely dogged foxes
804,1000,F,141086.14,1993-03-12,3-MEDIUM,"Clerk#000000931",0,leep blithely enticing theodolites; blithely
805,2521,O,133151.58,1995-07-05,4-NOT SPECIFIED,"Clerk#000000856",0,. regular packages wake idly
806,2615,O,30455.77,1996-06-20,2-HIGH,"Clerk#000000240",0,"ng, regular instructions after the ironi"
807,2872,F,278842.29,1993-11-24,3-MEDIUM,"Clerk#000000012",0,ic deposits. theodolites sleep deposits. quickl
832,580,F,88380.40,1992-04-19,5-LOW,"Clerk#000000495",0, dependencies sleep slyly carefully regular pinto beans. furiou
833,1105,F,54466.38,1994-02-13,3-MEDIUM,"Clerk#000000437",0,posits. ideas use blithely slyly 
834,856,F,73949.82,1994-05-23,3-MEDIUM,"Clerk#000000805",0,kages mold carefully. quickly pending packages boost slyly regular depo
835,1297,O,77483.84,1995-10-08,4-NOT SPECIFIED,"Clerk#000000416",0,"lar asymptotes. ironic, stealthy requests across the blithel"
836,1376,O,118459.02,1996-11-25,4-NOT SPECIFIED,"Clerk#000000729",0,y quickly final packages. even requests about the finally final foxes sle
837,2317,F,78614.13,1994-06-15,4-NOT SPECIFIED,"Clerk#000000563",0,old accounts cajole above the silent accounts. d
838,328,O,139338.80,1998-01-29,5-LOW,"Clerk#000000213",0,thely ironic instructions. e
839,559,O,95046.31,1995-08-08,1-URGENT,"Clerk#000000951",0," blithely ironic dolphins maintain regular, regula"
864,2755,O,113579.49,1997-08-17,1-URGENT,"Clerk#000000036",0,"regular pinto beans are carefully. regular, express pinto beans are car"
865,52,F,99815.04,1993-05-04,3-MEDIUM,"Clerk#000000337",0,packages hang slyly blithely ironic excuses-- carefully ironic instructions 
866,766,F,7441.46,1992-11-28,3-MEDIUM,"Clerk#000000718",0,oost slyly about the silent courts. sauternes
867,503,F,12071.02,1993-11-16,3-MEDIUM,"Clerk#000000877",0,y foxes sleep enticingly 
868,2071,F,173750.82,1992-06-09,4-NOT SPECIFIED,"Clerk#000000782",0,s. evenly even sheaves boost furiously. quickly 
869,2693,O,94453.80,1997-01-12,2-HIGH,"Clerk#000000245",0,platelets for the quickly even notornis sleep fluffily regular platelets. 
870,644,F,77666.25,1993-06-20,4-NOT SPECIFIED,"Clerk#000000123",0,slyly bold requests breach regula
871,289,O,254407.59,1995-11-15,5-LOW,"Clerk#000000882",0,ly. blithely special foxes 
896,34,F,248258.77,1993-03-09,1-URGENT,"Clerk#000000187",0,sly ironic packages wake regular decoys. regular deposits use along the q
897,979,P,85617.03,1995-03-20,1-URGENT,"Clerk#000000316",0,symptotes cajole again
898,1072,F,150531.08,1993-06-03,2-HIGH,"Clerk#000000611",0,as haggle finally about the carefully sly fr
899,2170,O,176876.40,1998-04-08,5-LOW,"Clerk#000000575",0,ackages alongside of the quickly regula
900,917,F,173700.16,1994-10-01,4-NOT SPECIFIED,"Clerk#000000060",0,t accounts. slyly regular theodolites m
901,226,O,132920.33,1998-07-21,4-NOT SPECIFIED,"Clerk#000000929",0,"ions. special, special packages sleep furiously final accounts. fluffily "
902,172,F,42818.19,1994-07-27,4-NOT SPECIFIED,"Clerk#000000811",0,t along the blithely regular packages. speci
903,218,O,129759.89,1995-07-07,4-NOT SPECIFIED,"Clerk#000000793",0,riously final packages. qu
928,1313,F,262619.96,1995-03-02,5-LOW,"Clerk#000000450",0,odolites are quickly pending
929,1654,F,146340.51,1992-10-02,2-HIGH,"Clerk#000000160",0,riously after the slyly regular ideas. furiously ironic instructions affix bey
930,2620,F,280252.34,1994-12-17,1-URGENT,"Clerk#000000004",0,ests sleep alongside of the carefully express accounts. i
931,2059,F,196010.20,1992-12-07,1-URGENT,"Clerk#000000881",0,"es. regular, final requests print around the fluffily special d"
932,808,O,75729.30,1997-05-16,2-HIGH,"Clerk#000000218",0,"kages impress carefully bold, pending asymp"
933,1907,F,120900.85,1992-08-05,4-NOT SPECIFIED,"Clerk#000000752",0,dependencies cajole carefully regular requests. blithely final accounts s
934,1027,O,21309.23,1996-07-03,1-URGENT,"Clerk#000000229",0,nt pinto beans cajole slyly blithely careful fre
935,985,O,135981.88,1997-09-24,5-LOW,"Clerk#000000180",0, detect. slyly even requests haggle quickly along the
960,694,F,80001.27,1994-09-21,3-MEDIUM,"Clerk#000000120",0,the carefully final reques
